40.25	117.25	2.65512	-3.38374
40	117.25	3.76845	-4.03374
39.75	117.25	3.77512	-5.11374
39.5	117.25	3.15845	-5.69374
39.25	117.25	2.24178	-5.48708
39	117.25	1.58845	-5.22374
38.75	117.25	1.24845	-5.55374
38.5	117.25	0.681783	-5.49041
38.25	117.25	0.315117	-4.73708
38	117.25	0.535117	-3.40374
37.75	117.25	1.07178	-1.88708
37.5	117.25	1.95512	-0.233744
37.25	117.25	3.22512	1.08626
40.25	117.5	2.69512	-2.53708
40	117.5	3.52512	-2.65708
39.75	117.5	3.64845	-3.96374
39.5	117.5	3.08845	-4.76041
39.25	117.5	2.47178	-4.94374
39	117.5	1.76178	-4.42041
38.75	117.5	1.20178	-4.56374
38.5	117.5	0.701783	-4.89374
38.25	117.5	0.771783	-4.47708
38	117.5	1.30512	-3.27041
37.75	117.5	1.96178	-1.67041
37.5	117.5	2.71512	-0.19041
37.25	117.5	3.68178	0.696256
40.25	117.75	2.11178	-1.79708
40	117.75	2.82512	-1.54708
39.75	117.75	3.18845	-2.88374
39.5	117.75	2.86512	-3.91708
39.25	117.75	2.54512	-4.24374
39	117.75	2.01178	-4.05708
38.75	117.75	1.22178	-4.00374
38.5	117.75	0.55845	-4.36708
38.25	117.75	1.19178	-4.42708
38	117.75	2.04845	-3.26374
37.75	117.75	2.77845	-1.62708
37.5	117.75	3.40178	-0.317077
37.25	117.75	4.09178	0.31959
40.25	118	1.75178	-1.61374
40	118	2.51178	-1.13708
39.75	118	2.69178	-2.06374
39.5	118	2.51178	-3.11374
39.25	118	2.60178	-3.59374
39	118	2.45512	-3.56708
38.75	118	1.95845	-3.61708
38.5	118	1.45178	-3.96041
38.25	118	1.80845	-4.21374
38	118	2.90178	-3.27041
37.75	118	3.52512	-1.69374
37.5	118	4.05845	-0.507077
37.25	118	4.55845	0.0262561
40.25	118.25	1.94845	-1.83708
40	118.25	2.39512	-1.12374
39.75	118.25	2.34512	-1.61374
39.5	118.25	2.18178	-2.59374
39.25	118.25	2.37512	-2.97041
39	118.25	2.64178	-2.78041
38.75	118.25	2.67512	-2.87708
38.5	118.25	2.66512	-3.26374
38.25	118.25	3.01512	-3.77708
38	118.25	3.70512	-3.10708
37.75	118.25	4.21845	-1.83374
37.5	118.25	4.62178	-0.833744
37.25	118.25	4.98178	-0.433744
40.25	118.5	2.32178	-1.96374
40	118.5	2.35512	-1.17374
39.75	118.5	2.11845	-1.45708
