40.25	117.25	0.561644	2.634
40	117.25	0.961644	2.20066
39.75	117.25	2.32831	3.20066
39.5	117.25	2.99498	4.034
39.25	117.25	2.92831	3.934
39	117.25	2.92831	3.86733
38.75	117.25	3.29498	4.13399
38.5	117.25	3.36164	3.90066
38.25	117.25	3.22831	3.70066
38	117.25	2.79498	3.73399
37.75	117.25	2.42831	3.90066
37.5	117.25	2.36164	3.70066
37.25	117.25	2.22831	2.93399
40.25	117.5	0.52831	2.734
40	117.5	0.894977	1.50066
39.75	117.5	2.02831	2.43399
39.5	117.5	2.49498	3.73399
39.25	117.5	2.12831	4.10066
39	117.5	1.59498	3.90066
38.75	117.5	1.42831	3.834
38.5	117.5	2.19498	3.434
38.25	117.5	3.09498	3.36733
38	117.5	2.92831	3.534
37.75	117.5	2.36164	3.56733
37.5	117.5	2.06164	3.034
37.25	117.5	1.79498	2.134
40.25	117.75	0.12831	2.86733
40	117.75	0.52831	0.900663
39.75	117.75	1.39498	1.80066
39.5	117.75	1.66164	3.80066
39.25	117.75	0.794978	4.90066
39	117.75	-1.13836	5.20066
38.75	117.75	-1.83836	4.13399
38.5	117.75	-0.605023	2.66733
38.25	117.75	1.92831	2.70066
38	117.75	2.69498	3.26733
37.75	117.75	2.39498	3.23399
37.5	117.75	1.92831	2.434
37.25	117.75	1.46164	1.46733
40.25	118	0.12831	2.66733
40	118	0.194977	0.300662
39.75	118	0.92831	1.334
39.5	118	1.42831	3.73399
39.25	118	0.42831	5.634
39	118	-1.77169	6.00066
38.75	118	-3.00502	3.93399
38.5	118	-2.63836	1.53399
38.25	118	-0.27169	1.03399
38	118	2.49498	2.60066
37.75	118	2.69498	2.70066
37.5	118	2.09498	1.90066
37.25	118	1.22831	1.10066
40.25	118.25	0.161644	2.06733
40	118.25	0.0949769	-0.132671
39.75	118.25	0.72831	0.733996
39.5	118.25	1.66164	3.00066
39.25	118.25	1.69498	4.96733
39	118.25	0.12831	5.46733
38.75	118.25	-1.57169	3.13399
38.5	118.25	-2.77169	0.200662
38.25	118.25	-1.50502	-0.732671
38	118.25	1.82831	1.26733
37.75	118.25	2.69498	2.00066
37.5	118.25	2.16164	1.60066
37.25	118.25	0.92831	1.10066
40.25	118.5	0.22831	1.63399
40	118.5	0.361644	-0.432671
39.75	118.5	0.72831	-0.299338
